,sigma,q,set,ntest,regressor,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
409,0.9,0.2,5,100,rf,0.0,0.0,0.0,0.11520238095,0.012387502429999999,0.95,0.19614923871999998,0.07259556598,5.37,0.09528571428571428,0.013013729545653482,0.85
410,0.9,0.2,5,500,rf,0.0,0.0,0.0,0.10812948817000001,0.00503417286,1.86,0.20913434845,0.03238994681,11.74,0.09366666666666668,0.0021475577261369262,0.75
411,0.9,0.2,5,1000,rf,0.0,0.0,0.0,0.13569380154,0.00511419064,3.57,0.22218805142,0.0369030863,26.5,0.08833333333333333,0.0007959674695785481,0.52
412,0.9,0.2,6,10,rf,0.0,0.0,0.0,0.12133333332,0.1519047619,1.0,0.21128571427,0.27377380949999996,1.91,0.1125,0.126,0.66
413,0.9,0.2,6,100,rf,0.0,0.0,0.0,0.10755417294000001,0.0373550778,2.03,0.19455584689,0.09142207947999999,5.38,0.13483333333333333,0.015812589799441758,0.85
414,0.9,0.2,6,500,rf,0.0,0.0,0.0,0.08669190352999999,0.01378786549,3.55,0.18158926567999997,0.058528999820000004,15.77,0.16,0.002929370605520682,0.8
415,0.9,0.2,6,1000,rf,0.0,0.0,0.0,0.13686902235,0.01269617587,6.43,0.1786431316,0.04827095036,25.63,0.07,0.0013391637586085301,0.61
416,0.9,0.5,1,10,rf,0.16899999999999998,0.33,3.3,0.24635714285,0.9308333333100001,6.7,0.47157936507000003,0.9966666666599999,9.89,0.1069920634920635,0.8076428571428572,4.49
417,0.9,0.5,1,100,rf,0.1097,0.22,22.0,0.2406493236,0.9044338924199999,60.56,0.48671703276,0.99849093774,98.4,0.037624636247276494,0.4581222162717682,23.08
418,0.9,0.5,1,500,rf,0.1297301002,0.26,129.99,0.24806687933,0.89665983562,299.95,0.49295397387999995,0.9981943910200001,493.34,0.01821447367782666,0.12863406403858124,32.8
419,0.9,0.5,1,1000,rf,0.12433,0.25,250.0,0.25399086886,0.9235624785000001,618.0,0.4950785149,0.99901061369,987.16,0.02386087117931444,0.06951856331928641,35.13
