,sigma,q,set,ntest,regressor,r_squared,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
178,0.4,0.5,1,500,gbr,0.8409387207510535,0.17418,0.35,175.0,0.25280765821345347,0.9932662354133948,333.77,0.49237471835234153,0.999882958588841,493.95,0.003225823454420186,0.6302319570308572,159.15
179,0.4,0.5,1,1000,gbr,0.8583083510124889,0.18540559609709908,0.37,369.97,0.25278254687041485,0.994469145869546,662.36,0.494990024805441,0.9999201065769618,985.03,0.005230244063374579,0.3239840311166119,161.73
180,0.4,0.5,2,10,gbr,0.44518197223940453,0.145,1.0,10.0,0.07034126984126984,0.9764682539682539,9.02,0.145,1.0,10.0,0.05542460317460317,0.9688452380952381,8.77
181,0.4,0.5,2,100,gbr,0.5379975080955042,0.1482,1.0,100.0,0.0743534639356461,0.9854371669502794,90.71,0.1482,1.0,100.0,0.009433060136401088,0.5491914049540432,47.27
182,0.4,0.5,2,500,gbr,0.5498742339217818,0.14944000000000002,1.0,500.0,0.07224815962001684,0.9864145925843542,452.23,0.14944000000000002,1.0,500.0,0.005300492040253092,0.16008991408077067,68.62
183,0.4,0.5,2,1000,gbr,0.54149932003568,0.14668,1.0,1000.0,0.0743331166445466,0.9870799167869716,910.01,0.14668,1.0,1000.0,0.004953765476854716,0.06866401683536678,58.83
184,0.4,0.5,5,10,gbr,-0.07215156082765409,0.004,0.01,0.1,0.2672857142857143,0.38234523809523807,3.2,0.4835079365079365,0.9541666666666667,9.46,0.24033333333333332,0.2416785714285714,1.77
185,0.4,0.5,5,100,gbr,0.03006058918616171,0.0,0.0,0.0,0.23517019968166167,0.18660849486455763,13.54,0.4937803197559774,0.9939702224451924,98.57,0.179,0.03362735765089945,2.11
186,0.4,0.5,5,500,gbr,0.03201506571907494,0.0,0.0,0.0,0.2474322712855139,0.1543644541278871,54.79,0.49112620985521277,0.9848697055914813,486.38,0.10251984126984126,0.009346004017695338,2.78
187,0.4,0.5,5,1000,gbr,0.03141839341104834,0.0,0.0,0.0,0.2613945970527326,0.15890416022529347,110.94,0.4937016500751148,0.9887207758739227,975.58,0.12060592185592185,0.003433046993793103,2.12
